school,major,degree,post_grad_earnings
Colorado Technical University-Colorado Springs,Computer Science.,Master's Degree,104843.0
Colorado Technical University-Colorado Springs,Computer Science.,Doctoral Degree,124721.0
Colorado Technical University-Colorado Springs,Computer/Information Technology Administration and Management.,Bachelor's Degree,107873.0
Colorado Technical University-Colorado Springs,Computer/Information Technology Administration and Management.,Master's Degree,76939.0
University of Denver,"Computer and Information Sciences, General.",Master's Degree,105894.0
University of Denver,"Computer and Information Sciences, General.",Graduate/Professional Certificate,81561.0
University of Denver,Computer Science.,Bachelor's Degree,97801.0
Front Range Community College,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,51533.0
Front Range Community College,"Computer and Information Sciences, General.",Associate's Degree,68311.0
Front Range Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,68429.0
Colorado Mesa University,"Computer and Information Sciences, General.",Bachelor's Degree,77812.0
Metropolitan State University of Denver,Computer Science.,Bachelor's Degree,111694.0
Metropolitan State University of Denver,Management Information Systems and Services.,Bachelor's Degree,89021.0
Pueblo Community College,"Computer and Information Sciences, General.",Associate's Degree,39781.0
Regis University,"Computer and Information Sciences, General.",Master's Degree,133512.0
Regis University,Computer Science.,Bachelor's Degree,110128.0
Rocky Mountain College of Art and Design,Computer Software and Media Applications.,Bachelor's Degree,54598.0
Colorado State University Pueblo,Information Science/Studies.,Bachelor's Degree,59246.0
Intellitec College-Colorado Springs,Computer Systems Networking and Telecommunications.,Associate's Degree,45728.0
Intellitec College-Colorado Springs,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,52279.0
Branford Hall Career Institute-Branford Campus,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,43682.0
Branford Hall Career Institute-Branford Campus,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,48213.0
Central Connecticut State University,"Computer and Information Sciences, General.",Bachelor's Degree,104520.0
Central Connecticut State University,Computer/Information Technology Administration and Management.,Bachelor's Degree,81085.0
Central Connecticut State University,Management Information Systems and Services.,Bachelor's Degree,87994.0
Porter & Chester Institute of Hamden,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,42897.0
Porter & Chester Institute of Hamden,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,49034.0
University of Connecticut,"Computer and Information Sciences, General.",Bachelor's Degree,122606.0
University of Connecticut,Computer Science.,Bachelor's Degree,128072.0
University of Connecticut,Computer Engineering.,Bachelor's Degree,108654.0
Eastern Connecticut State University,"Computer and Information Sciences, General.",Bachelor's Degree,83322.0
Eastern Connecticut State University,Information Science/Studies.,Bachelor's Degree,85021.0
Connecticut State Community College,Computer Science.,Associate's Degree,64574.0
Connecticut State Community College,"Engineering Technology, General.",Associate's Degree,56534.0
Connecticut State Community College,Computer Engineering Technologies/Technicians.,Associate's Degree,54938.0
Connecticut State Community College,Management Information Systems and Services.,Associate's Degree,60732.0
